structure,mixingenergy
O96Ru34Co5Nb4Bi5,-10.533
O96Ru34Cu4V10,-10.508
O96Ru34Cu6Co4Mn4,-12.128
O96Ru34Cu6Ga5Bi3,-18.750
O96Ru34Cu6Mn8,-9.096
O96Ru34Mn5Nb5Ta4,-9.639
O96Ru34Mn5Sn5Ta4,-4.895
O96Ru34Mn6Co3Sn5,-2.161
O96Ru34Mn6Cu5Bi3,-12.368
O96Ru34Nb3Sn5Ta6,-7.151
O96Ru34Ta6Co4V4,-10.811
O96Ru34V4Cu5Bi5,-10.835
O96Ru34V5Ta4Bi5,-9.468
O96Ru34V6Co4Nb4,-6.988
O96Ru34V6Ga3Ta5,-10.131
O96Ru35Co5Ga5Sn3,-7.577
O96Ru35Co6Cu2Ga5,-12.548
O96Ru35Co6Mn7,-7.619
O96Ru35Cu6Ga3Nb4,-16.980
O96Ru35Ga6Nb3Ta4,-14.644
O96Ru35Ga6Sn5Ta2,-8.744
O96Ru35Mn3Ga6Ta4,-14.067
O96Ru35Mn3Sn6Bi4,-2.356
O96Ru35Mn6Co3Cu4,-10.672
O96Ru35Mn6Co3Ga4,-8.415
O96Ru35Nb8V5,-6.809
O96Ru35Sn3Ta6Bi4,-6.386
O96Ru35Ta4Co5Mn4,-10.482
O96Ru35V5Cu3Sn5,-4.630
O96Ru35V6Mn2Cu5,-11.103
O96Ru35V6Mn3Bi4,-4.788
O96Ru36Co4Ga3Bi5,-8.293
O96Ru36Co5Cu5Sn2,-11.479
O96Ru36Co8V4,-6.712
O96Ru36Ga2Sn5Bi5,-2.171
O96Ru36Mn5Ga4Bi3,-7.960
O96Ru36Mn6Co3Ta3,-7.935
O96Ru36Nb7Co5,-7.721
O96Ru36Nb7Mn5,-8.648
O96Ru36Ta4Cu4Mn4,-12.590
O96Ru36Ta6V6,-8.870
O96Ru36V2Mn5Ga5,-7.607
O96Ru36V3Co6Ta3,-7.522
O96Ru36V3Cu3Nb6,-10.454
O96Ru36V4Co4Cu4,-10.559
O96Ru36V5Co2Sn5,-1.500
O96Ru37Co3Sn5Bi3,-3.305
O96Ru37Ga4Ta5Bi2,-12.667
O96Ru37Ga5Bi6,-12.320
O96Ru37Mn2Co6Bi3,-1.939
O96Ru37Mn5Co3Nb3,-9.284
O96Ru37Mn5Cu4Ga2,-9.564
O96Ru37Mn6Ga3Sn2,-5.349
O96Ru37Ta11,-12.493
O96Ru37V4Nb3Bi4,-1.529
O96Ru38Co2Nb3Sn5,-0.999
O96Ru38Cu3Sn2Ta5,-9.575
O96Ru38Cu5Nb2Bi3,-11.628
O96Ru38Cu5Nb2Sn3,-8.914
O96Ru38Nb6Ta4,-6.731
O96Ru38Sn4Bi6,2.047
O96Ru38V10,-2.559
O96Ru38V2Ga6Sn2,-6.116
O96Ru38V4Bi6,-3.979
O96Ru38V5Nb5,-4.375
O96Ru38V6Sn2Bi2,-2.011
O96Ru39Co2Cu3Bi4,-13.753
O96Ru39Cu3Ta2Bi4,-8.201
O96Ru39Cu4Ga2Sn3,-5.561
O96Ru39Cu5Ga2Ta2,-12.645
O96Ru39Cu5Nb4,-14.018
O96Ru39Cu5Sn4,-4.515
O96Ru39Cu6Bi3,-12.915
O96Ru39Cu9,-14.013
O96Ru39Mn3Co6,-4.815
O96Ru39Mn3Cu6,-12.874
O96Ru39Mn3Ga3Nb3,-8.340
O96Ru39Nb2Sn4Bi3,2.356
O96Ru39Nb4Ta2Bi3,-6.793
O96Ru39V2Co5Ga2,-6.735
O96Ru39V4Mn2Co3,-3.795
O96Ru40Cu3Ga5,-9.572
O96Ru40Cu8,-10.896
O96Ru40Mn2Nb4Bi2,-4.249
O96Ru40Mn4Nb4,-3.700
O96Ru40Mn4Sn4,0.995
O96Ru40Mn8,-3.363
O96Ru40Nb3Sn5,-0.704
O96Ru40Sn5Ta3,0.024
O96Ru40Ta2Bi6,-6.690
O96Ru40V2Nb4Sn2,-1.560
O96Ru40V4Nb2Ta2,-5.055
O96Ru40V6Mn2,-2.975
O96Ru41Co7,-6.505
O96Ru41Ga3Nb4,-4.464
O96Ru41Ga7,-10.183
O96Ru41Mn3Ta4,-7.148
O96Ru41Sn7,4.329
O96Ru41V2Cu3Ta2,-7.750
O96Ru41V3Ga4,-4.875
O96Ru41V3Sn4,1.060
O96Ru42Ag3Ga2Co1,-7.014
O96Ru42Co3Cu3,-6.921
O96Ru42Ga2Ti4,-2.252
O96Ru42Ga3Ta3,-7.126
O96Ru42Ge2Zn4,-9.797
O96Ru42Ge3Mn1Cr2,0.637
O96Ru42Ge5Ga1,0.384
O96Ru42In2Y1Sc3,-0.664
O96Ru42In4Cd1Zn1,-9.345
O96Ru42In4Nb1Ga1,-7.127
O96Ru42In4Zr2,-1.559
O96Ru42Mn2Ga4,-4.441
O96Ru42Mn5V1,-2.215
O96Ru42Mn6,-2.151
O96Ru42Mo3Co2Fe1,-3.801
O96Ru42Mo3Ge1Ga2,-6.029
O96Ru42Nb2Cu1Ni3,-5.216
O96Ru42Nb6,-2.894
O96Ru42Ni2Cr4,-1.853
O96Ru42Ni4Sc2,-5.097
O96Ru42Pd2Ge1Co3,-2.610
O96Ru42Pd2Mn3V1,-2.651
